task_id,task_name,description_output,confidence
0,007bbfb7.json,"To make the output, you have to...or the output repeat 3x3 in the 9x9 grid. to determine how many times the grid must repeat, add the number of color pixels in the input grid. if there are 5 colored pixels, you must repeat the input pattern five times, mimicking the shape of the original grid. For each pixel in the input, that is nine pixel in the output. So each pixel in the input stand for one 3x3 grid in the output.",5.0
0,007bbfb7.json,"To make the output, you have to...or the output repeat 3x3 in the 9x9 grid. to determine how many times the grid must repeat, add the number of color pixels in the input grid. if there are 5 colored pixels, you must repeat the input pattern five times, mimicking the shape of the original grid. For each pixel in the input, that is nine pixel in the output. So each pixel in the input stand for one 3x3 grid in the output.",5.0
0,007bbfb7.json,"To make the output, you have to.....replicate to 10x10 from the than copy to the right of the grid.",
0,007bbfb7.json,"To make the output, you have to...recreate the original block pattern the same number of times as the amount of blocks that make up the pattern",
0,007bbfb7.json,"To make the output, you have to...replicate the pattern of the colored squares",
0,007bbfb7.json,"To make the output, you have to...repeat the 3x3 input grid in the 9x9 grid. To determine how many times the grid must repeat, add the number of color pixels in the input grid. For example, if there are 5 colored pixels, you must repeat the input pattern five times. The way should repeat is mimicking the shape of the original grid. For each pixel in the input, that is nine pixels in the output. So each pixel in the input stand for one 3x3 grid in the output.",4.0
0,007bbfb7.json,"To make the output, you have to...create a black 9x9 grid. Copy the pattern of the input grid onto the output grid. However, the number of copies on the output grid is determined by the number of colored squares on the input grid. So if there are 3 colored squares on the input grid, you have to copy the pattern on the output grid 3 times. And if there are 5 colored squares on the input grid, you have to copy the pattern 5 times. The location of the copied pattern on the output grid also follows the location of each of the colored squares on the input grid.",4.0
0,007bbfb7.json,"To make the output, you have to...create a black 9x9 grid. Copy the pattern of the input grid onto the output grid. However, the number of copies on the output grid is determined by the number of colored squares on the input grid. So if there are 3 colored squares on the input grid, you have to copy the pattern on the output grid 3 times. And if there are 5 colored squares on the input grid, you have to copy the pattern 5 times. The location of the copied pattern on the output grid also follows the location of each of the colored squares on the input grid.",4.0
0,007bbfb7.json,"To make the output, you have to...same input",
0,007bbfb7.json,"To make the output, you have to...SIMILAR TO PATTERN OF THE INPUT",
1,00d62c1b.json,"To make the output, you have to...look at the color that form the design in the input.Find any empty areas of blocks that are enclosed  by the lines that form the main design, fill them yellow.You should end with the same original design from the input, but with the empty areas filled yellow.",10.0
1,00d62c1b.json,"To make the output, you have to...copy the input grid and then fill in all of the areas that are surrounded totally by green pixels.",1.0
1,00d62c1b.json,"To make the output, you have to... Fill each enclosed hole with yellow",10.0
1,00d62c1b.json,"To make the output, you have to....copy the input grid and then fill in each area or pixel enclosed by green pixels with yellow.",10.0
2,017c7c7b.json,"To make the output, you have to...bottom three by three blocks are the three by three from the two blocks from the top",
2,017c7c7b.json,"To make the output, you have to...copy the original grid to the top 66% of the output grid. Then ignore the top two rows of the grid, copy the next three rows, and paste them into the bottom 33% of the output grid. Change all of the blue blocks to the red-orange color",
2,017c7c7b.json,"To make the output, you have to...change the color and add one third potion",
2,017c7c7b.json,"To make the output, you have to...make a replica of the design in the input grid and make sure you fill all the grid because the output grid is 3 by 9 while the input grid is 3 by 6",
2,017c7c7b.json,"To make the output, you have to....change the size of the grid, start in the top left corner with black, then red, and then black.  Continue to make a checkerboard pattern to fill in the all the squares.",
2,017c7c7b.json,"To make the output, you have to...continue the pattern with additional 3x3 squares on the bottom",
2,017c7c7b.json,"To make the output, you have to...after change grid size use the same pattern but change the color into red, assume the design is in 3x9 grid",8.0
2,017c7c7b.json,"To make the output, you have to...resize or copy paste the color grid as in the input grid",
2,017c7c7b.json,"To make the output, you have to...keep the original pattern, change the blue to red, and then continue the pattern in the new 3 rows.",6.0
2,017c7c7b.json,"To make the output, you have to... change blue to red.",
3,025d127b.json,"To make the output, you have to...copy input grid over. find the bottom of the shape. Go up to the next row with the multicolored blocks and move everything over one row. Everything except the bottom row and the block that connect to the bottom row on the right side will have shifted one block over to the left.",10.0
3,025d127b.json,"To make the output, you have to...follow the insturction",9.0
3,025d127b.json,"To make the output, you have to...follow the insturction",9.0
3,025d127b.json,"To make the output, you have to... read the instructions",
3,025d127b.json,"To make the output, you have to...Slide each shape over one row and remove a center row from each shape to make narrow",
3,025d127b.json,"To make the output, you have to...Copy input grid over. find the bottom of the shape. Go up to the next row with the multicolored blocks and move everything over one row. Everything except the bottom row and the block that connects to the bottom row on the right side will have shifted one block over to the left.",8.0
3,025d127b.json,"To make the output, you have to...Copy input grid over. find the bottom of the shape. Go up to the next row with the multicolored blocks and move everything over one row. Everything except the bottom row and the block that connects to the bottom row on the right side will have shifted one block over to the left.",8.0
3,025d127b.json,"To make the output, you have to...Copy input grid over. find the bottom of the shape. Go up to the next row with the multicolored blocks and move everything over one row. Everything except the bottom row and the block that connects to the bottom row on the right side will have shifted one block over to the left.",8.0
3,025d127b.json,"To make the output, you have to...Copy input grid over. find the bottom of the shape. Go up to the next row with the multicolored blocks and move everything over one row. Everything except the bottom row and the block that connects to the bottom row on the right side will have shifted one block over to the left.",8.0
4,045e512c.json,"To make the output, you have to...complete the same pattern with the two incomplete patterns, going in the same direction as the line dictates, with one space between each pattern continuing to the border.",
4,045e512c.json,"To make the output, you have to...use the unfinished arrangement of blocks to form the central shape and continue forming the shape until the end of the grid. Repeat on every side that has an unfinished pattern. Be sure to use whatever color the unfinished pattern started with for each row (it may be a different color from the central shape.",
4,045e512c.json,"To make the output, you have to... copy the input grid. Then build onto the smaller shapes so that they become the same as the original main shape, but do not change their color. Then, continue to draw the same shape in the same color and at the same distance until you reach the end of the grid. So if it is a square, keep adding squares at an equal distance until you reach the edge of the grid. If it is a plus sign or any other shape, do the same. Repeat this in any direction where a small shape is near the original big shape.",2.0
4,045e512c.json,"To make the output, you have to...good one",
4,045e512c.json,"To make the output, you have to...complete the same pattern in the differing color all the way to the edge of the grid along the same direction or line that it starts at,",
4,045e512c.json,"To make the output, you have to... copy the input grid. Then create the shapes that look like the whole shape starting from the given half-done shapes. Continue creating the same shape with the same size all the way to the end of the black background side.",4.0
4,045e512c.json,"To make the output, you have to... copy the input grid. Then create the shapes that look like the whole shape starting from the given half-done shapes. Continue creating the same shape with the same size all the way to the end of the black background side.",4.0
